name,sourcefile,cloneof,year,manufacturer,description,status
005,segag80r.cpp,,1981,Sega,005,imperfect
10yard,m58.cpp,,1983,Irem,"10-Yard Fight (World, set 1)",good
10yard85,m58.cpp,10yard,1985,Irem (Taito license),"10-Yard Fight '85 (US, Taito license)",good
10yardj,m58.cpp,10yard,1983,Irem,10-Yard Fight (Japan),good
11beat,aleck64.cpp,,1998,Hudson,Eleven Beat,preliminary
1292apvs,vc4000.cpp,,1976,Radofin,1292 Advanced Programmable Video System,imperfect
1392apvs,vc4000.cpp,1292apvs,1976,Radofin,1392 Advanced Programmable Video System,imperfect
18w,mw18w.cpp,,1979,Midway,18 Wheeler (set 1),preliminary
18w2,mw18w.cpp,18w,1979,Midway,18 Wheeler (set 2),preliminary
18wheelr,naomi.cpp,,2000,Sega,18 Wheeler (deluxe) (Rev A),preliminary
18wheels,naomi.cpp,18wheelr,2000,Sega,18 Wheeler (standard),preliminary
18wheelu,naomi.cpp,18wheelr,2000,Sega,18 Wheeler (upright),preliminary
1941,cps1.cpp,,1990,Capcom,1941: Counter Attack (World 900227),good
1941j,cps1.cpp,1941,1990,Capcom,1941: Counter Attack (Japan),good
1941r1,cps1.cpp,1941,1990,Capcom,1941: Counter Attack (World),good
1941u,cps1.cpp,1941,1990,Capcom,1941: Counter Attack (USA 900227),good
1942,1942.cpp,,1984,Capcom,1942 (Revision B),good
1942a,1942.cpp,1942,1984,Capcom,1942 (Revision A),good
1942abl,1942.cpp,1942,1984,bootleg,"1942 (Revision A, bootleg)",good
1942b,1942.cpp,1942,1984,Capcom,1942 (First Version),good
1942h,1942.cpp,1942,198?,hack (Two Bit Score?),42,good
1942p,1942.cpp,1942,1984,bootleg,"1942 (Tecfri PCB, bootleg?)",good
1942w,1942.cpp,1942,1985,Capcom (Williams Electronics license),1942 (Williams Electronics license),good
1943,1943.cpp,,1987,Capcom,1943: The Battle of Midway (Euro),good
1943b,1943.cpp,1943,1987,bootleg,"1943: Battle of Midway (bootleg, hack of Japan set)",good
1943j,1943.cpp,1943,1987,Capcom,"1943: Midway Kaisen (Japan, Rev B)",good
1943ja,1943.cpp,1943,1987,Capcom,1943: Midway Kaisen (Japan),good
1943kai,1943.cpp,,1987,Capcom,1943 Kai: Midway Kaisen (Japan),good
1943u,1943.cpp,1943,1987,Capcom,"1943: The Battle of Midway (US, Rev C)",good
1943ua,1943.cpp,1943,1987,Capcom,1943: The Battle of Midway (US),good
1944,cps2.cpp,,2000,Eighting / Raizing (Capcom license),1944: The Loop Master (USA 000620),good
1944d,cps2.cpp,1944,2000,bootleg,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg),good
