name,sourcefile,cloneof,year,manufacturer,status
005,segag80r.cpp,,1981,Sega,imperfect
10yard,m58.cpp,,1983,Irem,good
10yard85,m58.cpp,10yard,1985,Irem (Taito license),good
10yardj,m58.cpp,10yard,1983,Irem,good
1942,1942.cpp,,1984,Capcom,good
1942a,1942.cpp,1942,1984,Capcom,good
1942abl,1942.cpp,1942,1984,bootleg,good
1942b,1942.cpp,1942,1984,Capcom,good
1942p,1942.cpp,1942,1984,bootleg,good
1942w,1942.cpp,1942,1985,Capcom (Williams Electronics license),good
1943,1943.cpp,,1987,Capcom,good
1943b,1943.cpp,1943,1987,bootleg,good
1943j,1943.cpp,1943,1987,Capcom,good
1943ja,1943.cpp,1943,1987,Capcom,good
1943kai,1943.cpp,,1987,Capcom,good
1943u,1943.cpp,1943,1987,Capcom,good
1943ua,1943.cpp,1943,1987,Capcom,good
24cdjuke,24cdjuke.cpp,,1988,Midcoin,preliminary
3b1,unixpc.cpp,,1985,AT&T,preliminary
3stooges,gottlieb.cpp,,1984,Mylstar,good
3stoogesa,gottlieb.cpp,3stooges,1984,Mylstar,good
40love,40love.cpp,,1984,Taito Corporation,imperfect
4dwarrio,system1.cpp,,1985,Coreland / Sega,good
4in1,galaxold.cpp,,1981,Armenia / Food and Fun,imperfect
600,galaxian.cpp,turtles,1981,Konami,good
720,atarisy2.cpp,,1986,Atari Games,good
720g,atarisy2.cpp,720,1986,Atari Games,good
720gr1,atarisy2.cpp,720,1986,Atari Games,good
720r1,atarisy2.cpp,720,1986,Atari Games,good
720r2,atarisy2.cpp,720,1986,Atari Games,good
720r3,atarisy2.cpp,720,1986,Atari Games,good
7toitsu,mitchell.cpp,mgakuen,1988,Yuga,good
800fath,scramble.cpp,mariner,1981,Amenip (US Billiards Inc. license),imperfect
86lions,aristmk4.cpp,,1985,Aristocrat,preliminary
88games,88games.cpp,,1988,Konami,good
8ball,cvs.cpp,,1982,Century Electronics,imperfect
8ball1,cvs.cpp,8ball,1982,Century Electronics,imperfect
8ballact,dkong.cpp,,1984,Seatongrove Ltd (Magic Electronics USA license),good
8ballact2,dkong.cpp,8ballact,1984,Seatongrove Ltd (Magic Electronics USA license),good
8bpm,pacman.cpp,8ballact,1985,Seatongrove Ltd (Magic Electronics USA license),good
990189v,tm990189.cpp,990189,1980,Texas Instruments,good
99lstwar,kyugo.cpp,repulse,1985,Crux / Proma,good
99lstwara,kyugo.cpp,repulse,1985,Crux / Proma,good
99lstwark,kyugo.cpp,repulse,1985,Crux / Kyugo,good
a1000,amiga.cpp,,1985,Commodore,preliminary
a1000n,amiga.cpp,a1000,1985,Commodore,preliminary
a1200xl,atari400.cpp,a800,1982,Atari,preliminary
a130xe,atari400.cpp,a800xl,1986,Atari,preliminary
a2000,amiga.cpp,,1987,Commodore,preliminary
a2000n,amiga.cpp,a2000,1987,Commodore,preliminary
a3010,a310.cpp,a310,1988,Acorn,preliminary
a3020,a310.cpp,a310,1988,Acorn,preliminary
a310,a310.cpp,,1988,Acorn,preliminary
a500,amiga.cpp,,1987,Commodore,preliminary
a500n,amiga.cpp,a500,1987,Commodore,preliminary
a5105,a5105.cpp,,1989,VEB Robotron,preliminary
a5120,a51xx.cpp,,1982,VEB Robotron,preliminary
a5130,a51xx.cpp,a5120,1983,VEB Robotron,preliminary
a5200,atari400.cpp,,1982,Atari,good
a600xl,atari400.cpp,a800xl,1983,Atari,imperfect
a65xe,atari400.cpp,a800xl,1986,Atari,imperfect
a65xea,atari400.cpp,a800xl,1986,Atari,preliminary
a6809,a6809.cpp,,1980,Acorn,good
a7150,a7150.cpp,,1986,VEB Robotron,preliminary
a7800,a7800.cpp,,1986,Atari,good
a7800p,a7800.cpp,a7800,1986,Atari,good
a800xe,atari400.cpp,a800xl,1986,Atari,imperfect
a800xl,atari400.cpp,,1983,Atari,imperfect
a800xlp,atari400.cpp,a800xl,1983,Atari,imperfect
aafb,leland.cpp,,1989,Leland Corp.,good
aafbb,leland.cpp,aafb,1989,Leland Corp.,preliminary
aafbc,leland.cpp,aafb,1989,Leland Corp.,good
aafbd2p,leland.cpp,aafb,1989,Leland Corp.,good
abc110,bbc.cpp,bbcbp,1985,Acorn,preliminary
abc1600,abc1600.cpp,,1985,Luxor,preliminary
abc310,bbc.cpp,bbcbp,1985,Acorn,preliminary
abc800c,abc80x.cpp,,1981,Luxor Datorer AB,good
abc800m,abc80x.cpp,abc800c,1981,Luxor Datorer AB,good
abc802,abc80x.cpp,,1983,Luxor Datorer AB,good
abc806,abc80x.cpp,,1983,Luxor Datorer AB,good
abscam,pacman.cpp,puckman,1981,GL (US Billiards license),good
abunai,nbmj8891.cpp,,1989,Green Soft,good
aburner,segaxbd.cpp,aburner2,1987,Sega,good
aburner2,segaxbd.cpp,,1987,Sega,good
aburner2g,segaxbd.cpp,aburner2,1987,Sega,good
ac1,ac1.cpp,,1984,Frank Heyder,good
ac1_32,ac1.cpp,ac1,1984,Frank Heyder,good
ac1scch,ac1.cpp,ac1,1984,Frank Heyder,good
academy,mmodular.cpp,,1989,Hegener & Glaser,preliminary
ace100,apple2.cpp,apple2,1982,Franklin Computer,good
aceattac,segas16b.cpp,,1988,Sega,good
aceattaca,segas16a.cpp,aceattac,1988,Sega,good
acitya,pacman.cpp,bwcasino,1983,Epos Corporation,good
actfancr,actfancr.cpp,,1989,Data East Corporation,good
actfancr1,actfancr.cpp,actfancr,1989,Data East Corporation,good
actfancrj,actfancr.cpp,actfancr,1989,Data East Corporation,good
acw443,bbc.cpp,bbcbp,1985,Acorn,preliminary
ad2083,scramble.cpp,,1983,Midcoin,imperfect
adam,adam.cpp,,1982,Coleco,good
advision,advision.cpp,,1982,Entex,imperfect
advsnha,arcadia.cpp,arcadia,1983,Advision,imperfect
aeroboto,aeroboto.cpp,formatz,1984,Jaleco (Williams license),imperfect
aerolitos,asteroid.cpp,asteroid,1980,bootleg (Rodmar Elec.),good
afighter,segas16a.cpp,,1986,Sega,good
aftor,wico.cpp,,1984,Wico,preliminary
agat7,apple2.cpp,apple2,1983,Agat,preliminary
agat9,apple2.cpp,apple2,1984,Agat,preliminary
agent777,gp_2.cpp,,1984,Game Plan,preliminary
agentx1,cloak.cpp,cloak,1983,Atari,good
agentx2,cloak.cpp,cloak,1983,Atari,good
agentx3,cloak.cpp,cloak,1983,Atari,good
agentx4,cloak.cpp,cloak,1983,Atari,good
ai1000,pb1000.cpp,pb2000c,1989,Casio,preliminary
aim65_40,aim65_40.cpp,,1981,Rockwell,preliminary
airrace,atarisy4.cpp,,1985,Atari Games,imperfect
airraid,cshooter.cpp,cshooter,1987,Seibu Kaihatsu,preliminary
airwolf,kyugo.cpp,,1987,Kyugo,good
airwolfa,kyugo.cpp,airwolf,1987,Kyugo (United Amusements license),good
ajax,ajax.cpp,,1987,Konami,good
ajaxj,ajax.cpp,ajax,1987,Konami,good
akumajou,hcastle.cpp,hcastle,1988,Konami,good
akumajoun,hcastle.cpp,hcastle,1988,Konami,good
albatross,suprgolf.cpp,suprgolf,1989,Nasco,preliminary
alcapone,ltd.cpp,,1981,LTD,preliminary
alcat_l7,s9.cpp,,1985,Williams,preliminary
alcon,slapfght.cpp,,1986,Toaplan / Taito America Corp.,good
alexkidd,segas16a.cpp,,1986,Sega,good
alexkidd1,segas16a.cpp,alexkidd,1986,Sega,good
alfa,pmd85.cpp,pmd851,1986,Didaktik Skalica,good
algar_l1,s6a.cpp,,1980,Williams,preliminary
ali,st_mp200.cpp,,1980,Stern,preliminary
alibaba,pacman.cpp,,1982,Sega,preliminary
alibabab,pacman.cpp,alibaba,1982,bootleg,preliminary
alice,mc10.cpp,mc10,1983,Matra & Hachette,good
alice32,mc10.cpp,,1984,Matra & Hachette,imperfect
alice90,mc10.cpp,alice32,1985,Matra & Hachette,imperfect
alienar,williams.cpp,,1985,Duncan Brown,good
alienaru,williams.cpp,alienar,1985,Duncan Brown,good
aliencr,uapce.cpp,,1989,Hudson Soft,imperfect
aliensec,baraduke.cpp,,1985,Namco,good
alienstr,gts80a.cpp,,1984,Gottlieb,preliminary
aliensyn,segas16b.cpp,,1987,Sega,good
aliensyn2,segas16a.cpp,aliensyn,1987,Sega,good
aliensyn3,segas16b.cpp,aliensyn,1987,Sega,good
aliensyn5,segas16a.cpp,aliensyn,1987,Sega,good
aliensyn7,segas16b.cpp,aliensyn,1987,Sega,good
aliensynj,segas16b.cpp,aliensyn,1987,Sega,good
aliensynjo,segas16a.cpp,aliensyn,1987,Sega,good
alleymas,leland.cpp,,1986,Cinematronics,good
alm16,mmodular.cpp,van16,1988,Hegener & Glaser Muenchen,good
alm32,mmodular.cpp,van16,1988,Hegener & Glaser Muenchen,good
alnattck,hh_hmcs40.cpp,,1981,Coleco,good
alnchase,hh_ucom4.cpp,,1984,Tomy,good
alpha1v,m52.cpp,,1988,Vision Electronics,preliminary
alphamis,snk.cpp,aso,1985,SNK,good
alphaone,mhavoc.cpp,mhavoc,1983,Atari,good
alphaonea,mhavoc.cpp,mhavoc,1983,Atari,good
alphatro,alphatro.cpp,,1983,Triumph-Adler,preliminary
alphaxz,tsamurai.cpp,m660,1986,Ed Co. Ltd. (Wood Place Inc. license),good
alpine,taitosj.cpp,,1982,Taito Corporation,good
alpinea,taitosj.cpp,alpine,1982,Taito Corporation,good
alpok_f6,s6a.cpp,alpok_l6,1980,Williams,preliminary
alpok_l2,s6a.cpp,alpok_l6,1980,Williams,preliminary
alpok_l6,s6a.cpp,,1980,Williams,preliminary
altair,cidelsa.cpp,,1981,Cidelsa,imperfect
altbeast,segas16b.cpp,,1988,Sega,good
altbeast2,segas16b.cpp,altbeast,1988,Sega,good
altbeast4,segas16b.cpp,altbeast,1988,Sega,good
altbeast5,segas16b.cpp,altbeast,1988,Sega,good
altbeast5d,segas16b.cpp,altbeast,1988,bootleg,good
altbeast6,segas16b.cpp,altbeast,1988,Sega,good
altbeastbl,system16.cpp,altbeast,1988,bootleg (Datsu),preliminary
altbeastj,segas16b.cpp,altbeast,1988,Sega,good
altbeastj1,segas16b.cpp,altbeast,1988,Sega,good
altbeastj3,segas16b.cpp,altbeast,1988,Sega,good
altbeastj3d,segas16b.cpp,altbeast,1988,bootleg,good
altos5,altos5.cpp,,1982,Altos,preliminary
am64,apple2.cpp,apple2,1985,ASEM,good
amatelas,terracre.cpp,amazon,1986,Nichibutsu,good
amazon,terracre.cpp,,1986,Nichibutsu,good
amazonh,gts80a.cpp,,1983,Gottlieb,preliminary
ambush,ambush.cpp,,1983,Tecfri,good
ambushh,ambush.cpp,ambush,1983,Tecfri,good
ambushj,ambush.cpp,ambush,1983,Tecfri (Nippon Amuse license),good
ambushv,ambush.cpp,ambush,1983,Tecfri (Volt Electronics license),good
amerdart,coolpool.cpp,,1989,Ameri,good
amerdart2,coolpool.cpp,amerdart,1989,Ameri,good
amerdart3,coolpool.cpp,amerdart,1989,Ameri,good
america,jp.cpp,,1986,Juegos Populares,preliminary
americna,meritm.cpp,,1987,Merit,imperfect
americnaa,meritm.cpp,americna,1987,Merit,imperfect
amidar,galaxian.cpp,,1982,Konami,good
amidar1,galaxian.cpp,amidar,1981,Konami,good
amidarb,galaxian.cpp,amidar,1982,bootleg,good
amidaro,galaxian.cpp,amidar,1982,Konami (Olympia license),good
amidars,galaxian.cpp,amidar,1982,Konami,good
amidaru,galaxian.cpp,amidar,1982,Konami (Stern Electronics license),good
amigo,galaxian.cpp,amidar,1982,bootleg,good
ampro,ampro.cpp,,1980,Ampro,good
amspdwy,amspdwy.cpp,,1987,Enerdyne Technologies Inc.,good
amspdwya,amspdwy.cpp,amspdwy,1987,Enerdyne Technologies Inc.,good
amsterd,glasgow.cpp,,1984,Hegener & Glaser Muenchen,good
amu880,huebler.cpp,,1983,Militaerverlag der DDR,preliminary
amusco,amusco.cpp,,1987,Amusco,preliminary
amuse,gei.cpp,,1982,Greyhound Electronics,imperfect
amuse1,gei.cpp,amuse,1982,Greyhound Electronics,imperfect
amuse1a,gei.cpp,amuse,1983,Greyhound Electronics,imperfect
amust,amust.cpp,,1983,Amust,preliminary
andromep,gp_2.cpp,,1985,Game Plan,preliminary
andromepa,gp_2.cpp,andromep,1985,Game Plan,preliminary
angelkds,angelkds.cpp,,1988,Sega / Nasco?,good
anteater,galaxian.cpp,,1982,Tago Electronics,good
anteaterg,galaxian.cpp,anteater,1982,Tago Electronics (TV-Tuning license from Free Enterprise Games),good
anteatergg,galaxian.cpp,anteater,1982,bootleg,good
anteateruk,galaxian.cpp,anteater,1982,Tago Electronics (Free Enterprise Games license,good
apache3,tatsumi.cpp,,1988,Tatsumi,imperfect
apache3a,tatsumi.cpp,apache3,1988,Tatsumi (Kana Corporation license),imperfect
apb,atarisy2.cpp,,1987,Atari Games,good
apb1,atarisy2.cpp,apb,1987,Atari Games,good
apb2,atarisy2.cpp,apb,1987,Atari Games,good
apb3,atarisy2.cpp,apb,1987,Atari Games,good
apb4,atarisy2.cpp,apb,1987,Atari Games,good
apb5,atarisy2.cpp,apb,1987,Atari Games,good
apb6,atarisy2.cpp,apb,1987,Atari Games,good
apbf,atarisy2.cpp,apb,1987,Atari Games,good
apbg,atarisy2.cpp,apb,1987,Atari Games,good
apc,apc.cpp,,1982,NEC,preliminary
apogee,apogee.cpp,radio86,1989,Zavod BRA,good
aponow,scobra.cpp,rescue,1982,bootleg,good
apparel,nbmj8688.cpp,,1986,Central Denshi,good
apple2c,apple2e.cpp,,1984,Apple Computer,good
apple2c0,apple2e.cpp,apple2c,1985,Apple Computer,good
apple2c3,apple2e.cpp,apple2c,1986,Apple Computer,good
apple2c4,apple2e.cpp,apple2c,1986,Apple Computer,good
apple2cp,apple2e.cpp,apple2c,1988,Apple Computer,preliminary
apple2e,apple2e.cpp,,1983,Apple Computer,good
apple2ee,apple2e.cpp,apple2e,1985,Apple Computer,good
apple2eeuk,apple2e.cpp,apple2e,1985,Apple Computer,good
apple2ep,apple2e.cpp,apple2e,1987,Apple Computer,good
apple2euk,apple2e.cpp,apple2e,1983,Apple Computer,good
apple2gs,apple2gs.cpp,,1989,Apple Computer,good
apple2gsr0,apple2gs.cpp,apple2gs,1986,Apple Computer,good
apple2gsr0p,apple2gs.cpp,apple2gs,1986,Apple Computer,good
apple2gsr0p2,apple2gs.cpp,apple2gs,1986,Apple Computer,good
apple2gsr1,apple2gs.cpp,apple2gs,1987,Apple Computer,good
apple2gsr3lp,apple2gs.cpp,apple2gs,1989,Apple Computer,preliminary
apple2jp,apple2.cpp,apple2,1980,Apple Computer,good
apple3,apple3.cpp,,1980,Apple Computer,good
applix,applix.cpp,,1986,Applix Pty Ltd,good
appoooh,appoooh.cpp,,1984,Sanritsu / Sega,good
apricot,apricot.cpp,,1983,ACT,preliminary
apricotxi,apricot.cpp,apricot,1984,ACT,preliminary
apvxft,at.cpp,ibm5170,1989,Apricot,preliminary
apxeni,at.cpp,ibm5170,1987,Apricot,preliminary
aqualand,jp.cpp,,1986,Juegos Populares,preliminary
aquarius,aquarius.cpp,,1983,Mattel,good
ar_airh,arsystems.cpp,,1988,Arcadia Systems,good
ar_airh2,arsystems.cpp,ar_airh,1988,Arcadia Systems,good
ar_argh,arsystems.cpp,,1988,Arcadia Systems,good
ar_bios,arsystems.cpp,,1988,Arcadia Systems,good
ar_blast,arsystems.cpp,,1988,Arcadia Systems,good
ar_bowl,arsystems.cpp,,1988,Arcadia Systems,good
ar_dart,arsystems.cpp,,1987,Arcadia Systems,good
