name,sourcefile,cloneof,year,manufacturer,status
600,galaxian.cpp,turtles,1981,Konami,good
8bpm,pacman.cpp,8ballact,1985,Seatongrove Ltd (Magic Electronics USA license),good
abscam,pacman.cpp,puckman,1981,GL (US Billiards license),good
acitya,pacman.cpp,bwcasino,1983,Epos Corporation,good
alibaba,pacman.cpp,,1982,Sega,preliminary
alibabab,pacman.cpp,alibaba,1982,bootleg,preliminary
amidar,galaxian.cpp,,1982,Konami,good
amidar1,galaxian.cpp,amidar,1981,Konami,good
amidarb,galaxian.cpp,amidar,1982,bootleg,good
amidaro,galaxian.cpp,amidar,1982,Konami (Olympia license),good
amidars,galaxian.cpp,amidar,1982,Konami,good
amidaru,galaxian.cpp,amidar,1982,Konami (Stern Electronics license),good
amigo,galaxian.cpp,amidar,1982,bootleg,good
anteater,galaxian.cpp,,1982,Tago Electronics,good
anteaterg,galaxian.cpp,anteater,1982,Tago Electronics (TV-Tuning license from Free Enterprise Games),good
anteatergg,galaxian.cpp,anteater,1982,bootleg,good
anteateruk,galaxian.cpp,anteater,1982,Tago Electronics (Free Enterprise Games license,good
aracnis,galaxian.cpp,scorpion,19??,bootleg,imperfect
armorcar,galaxian.cpp,,1981,Stern Electronics,good
armorcar2,galaxian.cpp,armorcar,1981,Stern Electronics,good
asideral,galaxian.cpp,uniwars,1980,bootleg (Electrogame S.A.),good
astrians,galaxian.cpp,galaxian,1980,bootleg (BGV Ltd.),good
atlantis,galaxian.cpp,,1981,Comsoft,good
atlantis2,galaxian.cpp,atlantis,1981,Comsoft,good
atlantisb,galaxian.cpp,atlantis,1981,bootleg,good
azurian,galaxian.cpp,,1982,Rait Electronics Ltd,good
batman2,galaxian.cpp,phoenix,1981,bootleg,good
beastf,pacman.cpp,suprglob,1984,Epos Corporation,good
bigbucks,pacman.cpp,,1986,Dynasoft Inc.,good
birdiy,pacman.cpp,,1983,Mama Top,good
blkhole,galaxian.cpp,,1981,TDS & MINTS,good
bomber,galaxian.cpp,scramble,198?,bootleg (Alca),good
bucaner,pacman.cpp,puckman,198?,hack,good
bwcasino,pacman.cpp,,1983,Epos Corporation,good
calipso,galaxian.cpp,,1982,Tago Electronics,good
candory,pacman.cpp,ponpoko,1982,bootleg,good
cannonbp,pacman.cpp,,198?,Novomatic,preliminary
catacomb,galaxian.cpp,,1982,MTM Games,preliminary
checkman,galaxian.cpp,,1982,Zilec-Zenitone,good
checkmanj,galaxian.cpp,checkman,1982,Zilec-Zenitone (Jaleco license),good
chewing,galaxian.cpp,luctoday,19??,<unknown>,good
clubpacm,pacman.cpp,,1989,Miky SRL,preliminary
crockman,pacman.cpp,puckman,1980,bootleg (Rene Pierre),good
crush,pacman.cpp,,1981,"Alpha Denshi Co. / Kural Samno Electric, Ltd.",good
crush2,pacman.cpp,crush,1981,"Alpha Denshi Co. / Kural Esco Electric, Ltd.",good
crush3,pacman.cpp,crush,1981,"Alpha Denshi Co. / Kural Electric, Ltd.",good
crush4,pacman.cpp,crush,1981,Alpha Denshi Co. / Kural TWT,good
crushbl,pacman.cpp,crush,1981,bootleg,good
crushbl2,pacman.cpp,crush,1981,bootleg,good
crushbl3,pacman.cpp,crush,1981,bootleg,good
crushrlf,pacman.cpp,crush,1981,bootleg,good
crushs,pacman.cpp,crush,1981,bootleg (Sidam),good
ctrpllrp,pacman.cpp,puckman,1982,hack,good
devilfsg,galaxian.cpp,devilfsh,1984,Vision / Artic,good
dingo,galaxian.cpp,,1983,Ashby Computers and Graphics Ltd. (Jaleco license),good
dingoe,galaxian.cpp,dingo,1983,Ashby Computers and Graphics Ltd.,preliminary
dremshpr,pacman.cpp,,1982,Sanritsu,good
drivfrcp,pacman.cpp,,1984,Shinkai Inc. (Magic Electronics Inc. license),good
eagle,galaxian.cpp,mooncrst,1980,Nichibutsu (Centuri license),good
eagle2,galaxian.cpp,mooncrst,1980,Nichibutsu (Centuri license),good
eagle3,galaxian.cpp,mooncrst,1980,Nichibutsu (Centuri license),good
eggor,pacman.cpp,,1983,Telko,preliminary
exodus,galaxian.cpp,redufo,19??,bootleg? (Subelectro),good
explorer,galaxian.cpp,scramble,1981,bootleg (Sidam),good
eyes,pacman.cpp,,1982,Techstar (Rock-Ola license),good
eyes2,pacman.cpp,eyes,1982,Techstar (Rock-Ola license),good
eyesb,pacman.cpp,eyes,1982,bootleg,good
eyeszac,pacman.cpp,eyes,1982,Techstar (Zaccaria license),preliminary
eyeszacb,pacman.cpp,eyes,1982,bootleg,good
fantastc,galaxian.cpp,,198?,Taito do Brasil,good
fantazia,galaxian.cpp,mooncrst,1980,bootleg? (Subelectro),good
frogf,galaxian.cpp,frogger,1981,bootleg (Falcon),good
frogg,galaxian.cpp,frogger,1981,bootleg,good
frogger,galaxian.cpp,,1981,Konami,good
froggeram,galaxian.cpp,frogger,1981,bootleg,preliminary
froggermc,galaxian.cpp,frogger,1981,Konami (Sega license),good
froggers,galaxian.cpp,frogger,1981,bootleg,good
froggers1,galaxian.cpp,frogger,1981,Konami (Sega license),good
froggers2,galaxian.cpp,frogger,1981,Konami (Sega license),good
froggrs,galaxian.cpp,frogger,1981,bootleg (Coin Music),good
galap1,galaxian.cpp,galaxian,1979,hack,good
galap4,galaxian.cpp,galaxian,1979,hack (G.G.I),good
galapx,galaxian.cpp,galaxian,1979,hack,good
galaxbsf,galaxian.cpp,galaxian,1979,bootleg,good
galaxbsf2,galaxian.cpp,galaxian,1979,bootleg,good
galaxian,galaxian.cpp,,1979,Namco,good
galaxiana,galaxian.cpp,galaxian,1979,Namco,good
galaxianbl,galaxian.cpp,galaxian,1979,bootleg,good
galaxiani,galaxian.cpp,galaxian,1979,bootleg? (Irem),good
galaxianm,galaxian.cpp,galaxian,1979,Namco (Midway license),good
galaxianmo,galaxian.cpp,galaxian,1979,Namco (Midway license),good
galaxiant,galaxian.cpp,galaxian,1979,Namco (Taito license),good
galaxrf,galaxian.cpp,galaxian,1980,bootleg (Recreativos Franco S.A.),good
galaxrfgg,galaxian.cpp,galaxian,1980,bootleg (Recreativos Franco S.A.),good
galemp,galaxian.cpp,uniwars,1980,bootleg (Taito do Brasil),good
galturbo,galaxian.cpp,galaxian,1979,hack,good
ghostmun,galaxian.cpp,puckman,1981,bootleg (Leisure and Allied),good
gmgalax,galaxian.cpp,,1981,bootleg,good
gorkans,pacman.cpp,mrtnt,1983,Techstar,good
gteikob2,galaxian.cpp,uniwars,1980,bootleg,good
gteikokb,galaxian.cpp,uniwars,1980,bootleg,good
gteikoku,galaxian.cpp,uniwars,1980,Irem,good
hangly,pacman.cpp,puckman,1981,hack,good
hangly2,pacman.cpp,puckman,1981,hack,good
hangly3,pacman.cpp,puckman,1981,hack,good
joyman,pacman.cpp,puckman,1982,hack,good
jumpbug,galaxian.cpp,,1981,Hoei (Rock-Ola license),imperfect
jumpbugb,galaxian.cpp,jumpbug,1981,bootleg,imperfect
jumpshot,pacman.cpp,,1985,Bally Midway,good
jumpshotp,pacman.cpp,jumpshot,1985,Bally Midway,good
kamakazi3,galaxian.cpp,galaxian,1979,hack,good
kingball,galaxian.cpp,,1980,Namco,good
kingballj,galaxian.cpp,kingball,1980,Namco,good
kong,galaxian.cpp,,198?,Taito do Brasil,preliminary
korosuke,pacman.cpp,crush,1981,"Alpha Denshi Co. / Kural Electric, Ltd.",good
levers,galaxian.cpp,,1983,Rock-Ola,good
lizwiz,pacman.cpp,,1985,Techstar (Sunn license),good
losttomb,galaxian.cpp,,1982,Stern Electronics,good
losttombh,galaxian.cpp,losttomb,1982,Stern Electronics,good
luctoday,galaxian.cpp,,1980,Sigma,preliminary
maketrax,pacman.cpp,crush,1981,Alpha Denshi Co. / Kural (Williams license),good
maketrxb,pacman.cpp,crush,1981,Alpha Denshi Co. / Kural (Williams license),good
mbrush,pacman.cpp,crush,1981,bootleg,good
monsterz,galaxian.cpp,,1982,Nihon Game,preliminary
moonal2,galaxian.cpp,galaxian,1980,Namco / Nichibutsu,good
moonal2b,galaxian.cpp,galaxian,1980,Namco / Nichibutsu,good
moonaln,galaxian.cpp,galaxian,1979,Namco / Nichibutsu (Karateco license?),good
mooncmw,galaxian.cpp,mooncrst,198?,bootleg,good
mooncptc,galaxian.cpp,mooncrst,1980?,bootleg (Petaco S.A.),good
mooncreg,galaxian.cpp,mooncrst,1980,bootleg (Electrogame S.A.),good
mooncrgx,galaxian.cpp,mooncrst,1980,bootleg,good
